RecordCode,Field,Start,Size,Fmt,Req,Field Description,CWR_Version
ACK,Record Type,1,3,A,M,Set Record Type = ACK (Acknowledgement of Transaction),2
ACK,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
ACK,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
ACK,Creation Date,20,8,D,M,The Creation Date of the original file that contained the transaction to which this ACK applies.,2
ACK,Creation Time,28,6,T,M,The Creation Time of the original file that contained the transaction to which this ACK applies.,2
ACK,Original Group ID,34,5,N,M,The Group ID within which the original transaction to which this ACK applies.,2
ACK,Original Transaction Sequence #,39,8,N,M,"The Transaction Sequence # of the original transaction to which this ACK applies. Note that if the ACK is a result of a HDR or TRL record problem, set this field to zeroes.",2
ACK,Original Transaction Type,47,3,L,M,"The Transaction Type of the original transaction to which this ACK applies. Note that if the ACK is a result of a HDR or TRL record problem, set this field to HDR or TRL (whichever is applicable).",2
ACK,Creation Title,50,60,A,C,The creation title as delivered by the submitter (i.e. the title of the musical work or audio visual production...). This field is required if the ACK is in response to an NWR or REV transaction.,2
ACK,Submitter Creation #,110,20,A,C,The unique identifier assigned by the original submitter to this work. This field is required if the ACK is in response to a transaction.,2
ACK,Recipient Creation #,130,20,A,C,The unique identifier assigned by the recipient to this work. This field is required if the ACK is in response to a transaction and if the transaction status indicates that the recipient has accepted the work.,2
ACK,Processing Date,150,8,D,M,The date this transaction or file was formally processed by the recipient.,2
ACK,Transaction Status,158,2,L,M,The current status of this transaction. Values for this field reside in the Transaction Status Table.,2
AGR,Record Type,1,3,A,M,Set Record Type = AGR (Agreement),2
AGR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
AGR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
AGR,Submitter Agreement Number,20,14,A,M,The submitter's unique identifier for this agreement.,2
AGR,International Standard Agreement Code,34,14,A,O,The ISAC that has been assigned to this agreement. Note this code is not yet available.,2
AGR,Agreement Type,48,2,L,M,Code defining the category of agreement. The values reside in the Agreement Type Table.,2
AGR,Agreement Start Date,50,8,D,M,The date on which the transfer of rights to the acquiring party becomes effective. This field is mandatory.,2
AGR,Agreement End Date,58,8,D,O,The date on which the transfer of rights to the acquiring party ceases except for the agreed provisions concerning entitlements such as a collection.,2
AGR,Retention End Date,66,8,D,O,The end date of the retention period. This date supersedes the function of the Agreement End Date when a retention period is part of the agreement. The Retention End Date must be equal to or later than the Agreement End Date.,2
AGR,Prior Royalty Status,74,1,A,M,"Indicates whether or not the acquiring party is entitled to collect monies that were accrued before the Agreement Start Date of this agreement but not yet distributed by the societies. Possible values are: ""N""one, or ""A""ll, or ""D""ate (the latter indicating a date is entered in Prior Royalty Start Date).",2
AGR,Prior Royalty Start Date,75,8,D,C,Date before the Agreement Start Date of this agreement from which royalties are accrued to which the acquiring party is entitled to collect monies not yet distributed by societies. This date must be entered if and only if the Prior Royalty Status is 'D'ate.,2
AGR,Post-term Collection Status,83,1,A,M,"Indicates whether the acquiring party is entitled to collect monies that were accrued before the Retention End Date (if it exists), or else the Agreement End Date but not yet distributed by the societies. Possible values are ""N""o, ""O""pen-ended, or ""D""ate (the latter indicating a date is entered in Post-term Collection End Date).",2
AGR,Post-term Collection End Date,84,8,D,C,"The date until which the acquiring party is entitled to collect monies that were accrued before the Retention End Date (if it exists), or else the Agreement End Date but not yet distributed by the societies. This date must be after the Retention End Date (if it exists), or else the Agreement End Date. This date must be entered if and only if the Post-term Collection Status is 'D'ate.",2
AGR,Date of Signature of Agreement,92,8,D,O,The date when the written form of the agreement (the contract) was signed.,2
AGR,Number of Works,100,5,N,M,Number of works registered subject to this agreement specific to this file.,2
AGR,Sales/ Manufacture Clause,105,1,L,C,The S/M-clause-indicator is a marker that shows whether the acquiring party has acquired rights either for products manufactured or for products sold in the territories in agreement. Synonym: Sales/Manufacture Clause. Only two values are allowed according to BIEM/CISAC-rules: S = Sales Clause: A stipulation which lays down that the acquiring party has acquired rights for products sold in the territories in agreement irrespective of the country of manufacture. M = Manufacture Clause: A stipulation which lays down that the acquiring party has acquired rights for products manufactured in the territories in agreement irrespective of the country of sale. This field is mandatory for specific agreements i.e. if Agreement Type = OS or PS.,2
AGR,Shares change,106,1,B,O,"If the shares for the writer interest can change as a result of sub-publication or similar reason, set this field to ""Y"". Default is ""N"".",2
AGR,Advance Given,107,1,B,O,"If there is an advance paid for this agreement, set this field to ""Y"". Default is ""N"".",2
AGR,Society-assigned Agreement Number,108,14,A,O,The agreement number assigned by the society of the sub-publisher. This is generally not known when the AGR is submitted but can be supplied by the societies in the ACK transaction.,2.1
ALT,Record Type,1,3,A,M,Set Record Type = ALT (Alternate Title),2
ALT,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
ALT,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
ALT,Alternate Title,20,60,A,M,AKA or pseudonym of the work title.,2
ALT,Title Type,80,2,L,M,Indicates the type of alternate title presented on this record. These values reside in the Title Type Table.,2
ALT,Language Code,82,2,L,C,"The code representing the language that this alternate title has been translated into. These values reside in the Language Code Table. A language Code Must be entered if the Title Type is equal to ""OL"" or ""AL""",2
ARI,Record Type,1,3,A,M,Set Record Type = ARI (Additional Related Information),2
ARI,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
ARI,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
ARI,Society #,20,3,L,M,"Number assigned to the Society to which the Note is addressed. These values reside Society Code Table. If the note is addressed to all societies that use the ARI record, use ""000"".",2
ARI,Work #,23,14,A,C,"The Society work # that relates to this registration. It may have been found on an unidentified list, or a website etc.",2
ARI,Type of Right,37,3,L,M,"Indicates that this information relates to performing rights, mechanical rights, sync. rights or all rights (ALL)",2
ARI,Subject Code,40,2,L,C,Subject of the ARI.,2
ARI,Note,42,160,A,C,Free text field pertaining to the type of right and subject specified above.,2
COM,Record Type,1,3,A,M,Set Record Type = COM (Composite Component),2
COM,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
COM,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
COM,Title,20,60,A,M,The title of the original work from which a portion was taken and included in the composite work.,2
COM,ISWC of Component,80,11,A,O,The International Standard Work Code assigned to the original work from which a portion was taken and included in this composite work.,2
COM,Submitter Work #,91,14,A,O,The number that the submitting party uses to refer to this composite component.,2
COM,Duration,105,6,T,O,The duration of this composite component.,2
COM,Writer 1 Last Name,111,45,A,M,"Last name of the first writer of this component. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
COM,Writer 1 First Name,156,30,A,O,First name of the first writer of this component.,2
COM,Writer 1 IPI Name #,186,11,L,O,The IPI Name number assigned to the first writer of this component.,2
COM,Writer 2 Last Name,197,45,A,O,"Last name of the second writer of this component. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
COM,Writer 2 First Name,242,30,A,O,First name of the second writer of this component.,2
COM,Writer 2 IPI Name #,272,11,L,O,The IPI Name number assigned to the second writer of this component.,2
COM,Writer 1 IPI Base Number,283,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
COM,Writer 2 IPI Base Number,296,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
EWT,Record Type,1,3,A,M,Set Record Type = EWT (Entire Work Title for Excerpts),2
EWT,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
EWT,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
EWT,Entire Work Title,20,60,A,M,The title of the entire work from which this excerpt has been derived.,2
EWT,ISWC of Entire Work,80,11,A,O,The International Standard Work Code assigned to the work from which this excerpt has been derived.,2
EWT,Language Code,91,2,L,O,The code defining the language in which the entire was originally written. These values reside in the Language Code Table.,2
EWT,Writer 1 Last Name,93,45,A,O,"Last name of the original writer/composer of the work from which this excerpt has been taken. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
EWT,Writer 1 First Name,138,30,A,O,First name of the original writer/composer of the work from which this excerpt has been taken.,2
EWT,Source,168,60,A,O,A description of the source from which the work was obtained.,2
EWT,Writer 1 IPI Name #,228,11,L,O,The IPI Name # assigned to the first writer of the entire work.,2
EWT,Writer 1 IPI Base Number,239,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
EWT,Writer 2 Last Name,252,45,A,O,"Last name of the second writer of this component. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
EWT,Writer 2 First Name,297,30,A,O,First name of the second writer of this component.,2
EWT,Writer 2 IPI Name #,327,11,L,O,The IPI Name # assigned to the second writer of the entire work.,2
EWT,Writer 2 IPI Base Number,338,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
EWT,Submitter Work #,351,14,A,O,Number assigned to the work by the party submitting the file. This number must be unique for the submitter.,2
GRH,Record Type,1,3,A,M,GRH = Group Header,2
GRH,Transaction Type,4,3,L,M,Indicates the type of transactions included in this group. Values for this field reside in the Transaction Type table.,2
GRH,Group ID,7,5,N,M,A unique sequential number for this group within this file. Group ID should start at 00001.,2
GRH,Version Number for this transaction type,12,5,A,M,"Indicates the version of the previously referred to transaction type that will follow within this group. For CWR version 2.1, set to 02.10 (Note: Doc text says 2.1, but the field description implies 2.10 standard. Subsequent edit says 2.2 is 02.20)",2
GRH,Batch request,17,10,N,O,A unique sequential number to identify the group. This number is managed by the submitter to identify the group among multiple submission files.,2
GRH,Submission/ Distribution type,27,2,L,C,Set to blank - Not used for CWR,2
GRT,Record Type,1,3,A,M,GRT = Group Trailer,2
GRT,Group ID,4,5,N,M,The same group id that was present on the preceding GRH record.,2
GRT,Transaction Count,9,8,N,M,The number of transactions included within this group.,2
GRT,Record Count,17,8,N,M,The number of physical records included within this group including GRH and GRT records.,2
GRT,Currency indicator,25,3,L,C,"ISO Code of the currency used for the total monetary value. ISO codes can be found in ISO 4217 table (actually ISO 3166 country codes 2A plus the first letter of the currency of the country: for example, USD for Dollar in US).",2
GRT,Total monetary value,28,10,N,O,Total monetary value represented by the group.,2
HDR,Record Type,1,3,A,M,HDR = Transmission Header,2
HDR,Sender Type,4,2,A,M,"Indicates if the sender of the file is a society or a publisher. Values are PB = Publisher, SO = Society, AA = Administrative Agency, WR = Writer. If CWR Sender ID (IPNN) greater than 9 digits (without the 2 leading 0) then use Sender Type field to provide leading numbers of the CWR Sender ID.",2
HDR,Sender ID,6,9,N,M,"If Sender Type is equal to PB, AA, or WR, the sender must enter their assigned CWR IPI # in this field. These values reside in the CWR Sender ID and Codes Table. If Sender Type is equal to SO, the sending society must enter their Society Code. These values reside in the Society Code Table. If CWR Sender ID (IPNN) greater than 9 digits then use Sender ID to provide remaining numbers of the CWR Sender ID.",2
HDR,Sender Name,15,45,A,M,"The name of the sender (publisher, society, agency)",2
HDR,EDI Standard Version Number,60,5,A,M,Indicates which version of the header and trailer records was used to create the data in this file. This field must be set to 01.10 for this version of the standard.,2
HDR,Creation Date,65,8,D,M,The date that this file was created.,2
HDR,Creation Time,73,6,T,M,The time of day that this file was created.,2
HDR,Transmission Date,79,8,D,M,The date that this file was transmitted to all receiving entities.,2
HDR,Character Set,87,15,L,O,To be used if this file contains data in a character set other than ASCII.,2.1
HDR,Version,102,3,A,O,CWR version (2.2),2.2
HDR,Revision,105,3,N,O,CWR revision number,2.2
HDR,Software Package,108,30,A,O,Name of the software package from which the file originated,2.2
HDR,Software Package Version,138,30,A,O,Version of the software package from which the file originated,2.2
IND,Record Type,1,3,A,M,Set Record Type = IND (Instrumentation Detail),2
IND,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
IND,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
IND,Instrument Code,20,3,L,M,Indicates the use of a specific instrument in this version of instrumentation. These values reside in the Instrument Table.,2
IND,Number of Players,23,3,N,O,Indicates the number of players for the above instrument,2
INS,Record Type,1,3,A,M,Set Record Type = INS (Instrumentation Summary),2
INS,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
INS,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
INS,Number of Voices,20,3,N,O,Indicates the number of independent parts included in this work.,2
INS,Standard Instrumentation Type,23,3,L,C,Describes instrumentation if standard instrumentation is used on this work. Note that this field is required if IND records are not entered and if Instrumentation Description is blank. These values reside in the Standard Instrumentation Table.,2
INS,Instrumentation Description,26,50,A,C,Describes instrumentation if non-standard instrumentation is used on this work. Note that this field is required if IND records are not entered and if Standard Instrumentation Type is blank.,2
IPA,Record Type,1,3,A,M,Set Record Type = IPA (Interested Party of Agreement),2
IPA,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
IPA,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
IPA,Agreement Role Code,20,2,L,M,Code defining the role of the interested party in this agreement. The interested party can be either an assigning party or an acquiring party.,2
IPA,Interested Party IPI Name #,22,11,L,O,The IPI name # assigned to this interested party. These values reside in the IPI Database.,2
IPA,IPI Base Number,33,13,L,O,The IPI base number assigned to this interested party.,2
IPA,Interested Party #,46,9,A,M,Submitter's unique identifier for this interested party.,2
IPA,Interested Party Last Name,55,45,A,M,"The last name of this writer or the name of the publisher. Note that if the submitter does not have the ability to split first and last names of writers, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
IPA,Interested Party Writer First Name,100,30,A,O,The first name of this writer along with all qualifying and middle names. An entry is only allowed if the Agreement type is OS or OG and the Agreement Role Code is Assignor.,2
IPA,PR Affiliation Society,130,3,L,C,Number assigned to the performing rights society with which the IP is affiliated. These values reside on the Society Code Table. Required if PR share is greater than zero.,2
IPA,PR Share,133,5,N 999v99,C,"Defines the percentage of the performing rights to the work, claimed by this interested party. Within an individual IPA record, this value can range from 0 to 100%. The PR-shares of all IPA records within an AGR transaction must add up to 100.00 if the agreement covers performing rights or must be 00000 if the agreement does not cover performing rights. At least one of PR share, MR share, or SR share must be greater than 0.",2
IPA,MR Affiliation Society,138,3,L,C,Number assigned to the mechanical rights society with which this interested party is affiliated. These values reside on the Society Code Table. Required if MR share is greater than zero.,2
IPA,MR Share,141,5,N 999v99,C,"Defines the percentage of the mechanical rights to the work, claimed by this interested party. Within an individual IPA record, this value can range from 0 to 100.00. The MR-shares of all IPA records within an AGR transaction must add up to 100.00 if the agreement covers the mechanical rights or to 000.00 if the agreement does not cover the mechanical rights. At least one of PR share, MR share, or SR share must be greater than 0.",2
IPA,SR Affiliation Society,146,3,L,C,Number assigned to the synchronization rights society with which the IP is affiliated. These values reside on the Society Code Table. Required if SR share is greater than zero.,2
IPA,SR Share,149,5,N 999v99,C,"Defines the percentage of the synchronization rights to the work, claimed by this interested party. Within an individual IPA record, this value can range from 0 to 100.00. The SR-shares of all IPA records within an AGR transaction must add up to 100.00 if the agreement covers the synchronization rights or to 000.00 if the agreement does not cover the synchronization rights. At least one of PR share, MR share, or SR share must be greater than 0.",2
MSG,Record Type,1,3,A,M,Set Record Type = MSG (Message),2
MSG,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
MSG,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
MSG,Message Type,20,1,L,M,"Indicates whether this information is a warning, error, or for information only. Values are F = Field Rejected, R = Record Rejected, T = Transaction Rejected, G = Group Rejected, E = Entire File Rejected",2
MSG,Original Record Sequence #,21,8,N,M,The Record Sequence Number within the transaction associated with this acknowledgment that caused the generation of this message.,2
MSG,Record Type,29,3,A,M,The record type within the original transaction that caused generation of this message.,2
MSG,Message Level,32,1,L,M,"The level of editing that was responsible for generation of this message. Values are E = Entire File, G = Group, T = Transaction, R = Record, F = Field.",2
MSG,Validation Number,33,3,A,M,"Identifies the specific edit condition that generated this message. Note that the combination of Record Type, Message Level, and Validation Number points back to a condition within this document.",2
MSG,Message Text,36,150,A,M,The text associated with this message.,2
NAT,Record Type,1,3,A,M,Set Record Type = NAT (Non-Roman Alphabet Title),2
NAT,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NAT,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NAT,Title,20,640,A,M,The work title in non-Roman alphabet,2
NAT,Title Type,660,2,L,M,"Indicates the type of title presented on this record (original, alternate etc.). These values reside in the Title Type Table.",2
NAT,Language Code,662,2,L,O,The Language code of the title - must be a valid code from the Language Code Table.,2
NET,Record Type,1,3,A,M,Set Record Type = NET/NCT/NVT (Non-Roman Alphabet Entire Work Title for Excerpts/ Non-Roman Alphabet Title for Components/ Non-Roman Alphabet Original Title for Versions),2
NET,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NET,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NET,Title,20,640,A,M,The title in non-Roman alphabet.,2
NET,Language Code,660,2,L,O,The Language code of the title – must be a valid code from the Language Code Table.,2
NOW,Record Type,1,3,A,M,Set Record Type = NOW,2
NOW,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NOW,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NOW,Writer Name,20,160,O,M,The last or single name of this writer.,2
NOW,Writer First Name,180,160,O,M,The first name of this writer.,2
NOW,Language Code,340,2,L,O,The Language code of the name must be a valid code from the Language Code Table.,2
NOW,Writer Position,342,1,L,O,"The position of the writer in the corresponding EWT, VER, or COM record",2
NPA,Record Type,1,3,A,M,Set Record Type = NPA,2
NPA,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NPA,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NPA,Interested Party #,20,9,A,C,Submitting publisher's unique identifier for this Writer.,2
NPA,Interested Party Name,29,160,A,M,The last of a writer or the publisher name.,2
NPA,Interested Party Writer First Name,189,160,A,M,The first name of a writer.,2
NPA,Language Code,349,2,L,O,The Language code of the name – must be a valid code from the Language Code Table.,2
NPN,Record Type,1,3,A,M,Set Record Type =NPN,2
NPN,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NPN,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NPN,Publisher Sequence #,20,2,N,M,A sequential number assigned to the original publishers on this work.,2
NPN,Interested Party #,22,9,A,M,Submitting publisher's unique identifier for this publisher.,2
NPN,Publisher Name,31,480,A,M,The name of this publishing company in non-roman alphabet.,2
NPN,Language Code,511,2,L,O,The Language code of the name - must be a valid code from the Language Code Table.,2
NPR,Record Type,1,3,A,M,Set Record Type = NPR,2
NPR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NPR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NPR,Performing Artist Name,20,160,A,C,"Name of a person or full name of a group that has performed the work on a recording or in public. Note that if the performer is known by a single name, it should be entered in this field.",2
NPR,Performing Artist First Name,180,160,A,O,First name of a person that has performed the work on a recording or in public. .,2
NPR,Performing Artist IPI Name #,340,11,L,O,The IPI Name # corresponding to this performing artist. Values reside in the IPI database.,2
NPR,Performing Artist IPI Base Number,351,13,L,O,The IPI base number assigned to this performing artist.,2
NPR,Language Code,364,2,L,O,The Language code of the name – must be a valid code from the Language Code Table.,2
NPR,Performance Language,366,2,L,C,The language used in the performance - must be a valid code from the Language Code Table,2.1
NPR,Performance Dialect,368,3,L,C,"The dialect used in the performance - must be a valid code from ISO 639-2(T) e.g. if the performance is in Mandarin, YUE Cantonese, MIN NAN or HAKKA, then use: CHN, YUH, CFR or HAK",2.1
NWN,Record Type,1,3,A,M,Set Record Type = NWN,2
