RecordCode,Field,Start,Size,Fmt,Req,Field Description,CWR_Version
NWN,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NWN,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NWN,Interested Party #,20,9,A,C,Submitting publisher's unique identifier for this Writer.,2
NWN,Writer Last Name,29,160,O,M,The last or single name of this writer.,2
NWN,Writer First Name,189,160,O,O,The first name of this writer.,2
NWN,Language Code,349,2,L,O,The Language code of the name must be a valid code from the Language Code Table.,2
NWR,Record Type,1,3,A,M,"Set Record Type = NWR (New Work Registration) for new registrations, REV (Revised Registration) for revisions, or ISW (Notification of ISWC) or EXC (Existing Work in Conflict) for outgoing notifications.",2
NWR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
NWR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
NWR,Work Title,20,60,A,M,Name/Title of the work.,2
NWR,Language Code,80,2,L,O,The code representing the language of this title. These values reside in the Language Code Table.,2
NWR,Submitter Work #,82,14,A,M,Number assigned to the work by the publisher submitting or receiving the file. This number must be unique for the publisher.,2
NWR,ISWC,96,11,A,O,The International Standard Work Code assigned to this work.,2
NWR,Copyright Date,107,8,D,O,Original copyright date of the work.,2
NWR,Copyright Number,115,12,A,O,Original copyright number of the work.,2
NWR,Musical Work Distribution Category,127,3,L,M,Describes the type of music as it applies to special distribution rules. Values for this field reside in the Musical Work Distribution Category Table.,2
NWR,Duration,130,6,T,C,"Duration of the work in hours, minutes, and seconds. This field must be greater than zero if Musical Work Distribution Category is equal to SER. Note that some societies may also require duration for works where the Musical Work Distribution Category is equal to JAZ (e.g. BMI).",2
NWR,Recorded Indicator,136,1,F,M,Indicates whether or not the work has ever been recorded.,2
NWR,Text Music Relationship,137,3,L,O,"Indicates whether this work contains music, text, and/or both. Values reside in the Text Music Relationship Table.",2
NWR,Composite Type,140,3,L,O,"If this is a composite work, this field will indicate the type of composite. Values reside in the Composite Type Table.",2
NWR,Version Type,143,3,L,M,Indicates relationships between this work and other works. Note that this field is used to indicate whether or not this work is an arrangement. Values reside in the Version Type Table.,2
NWR,Excerpt Type,146,3,L,O,"If this is an excerpt, this field will indicate the type of excerpt. Values reside in the Excerpt Type Table.",2
NWR,Music Arrangement,149,3,L,C,"If Version Type is equal to ""MOD"", this field indicates the type of music arrangement. Values reside in the Music Arrangement Table.",2
NWR,Lyric Adaptation,152,3,L,C,"If Version Type is equal to ""MOD"", this field indicates the type of lyric adaptation. Values reside in the Lyric Adaptation Table.",2
NWR,Contact Name,155,30,A,O,The name of a business contact person at the organization that originated this transaction.,2
NWR,Contact ID,185,10,A,O,An identifier associated with the contact person at the organization that originated this transaction.,2
NWR,CWR Work Type,195,2,L,O,These values reside in the CWR Work Type table.,2
NWR,Grand Rights Ind,197,1,B,C,Indicates whether this work is originally intended for performance on stage. Note that this field is mandatory for registrations with the UK societies.,2
NWR,Composite Component Count,198,3,N,C,"If Composite Type is entered, this field represents the number of components contained in this composite. Note that this is required for composite works where ASCAP is represented on the work.",2
NWR,Date of publication of printed edition,201,8,D,O,"For registrations with GEMA: Indicates the date that the printed, new edition published by the submitting publisher appeared. This information is especially relevant for the notification of sub-published works by GEMA-sub-publishers.",2
NWR,Exceptional Clause,209,1,F,O,"For registrations with GEMA: By entering Y (Yes), the submitting GEMA-sub-publisher declares that the exceptional clause of the GEMA distribution rules with regard to printed editions applies (GEMA-Verteilungsplan A Anhang III).",2
NWR,Opus Number,210,25,A,O,"Indicates the number assigned to this work, usually by the composer. Part numbers are to be added with an # e.g. 28#3 (meaning Opus 28 part 3).",2
NWR,Catalogue Number,235,25,A,O,"The work catalogue number. The abbreviated name of the catalogue is to be added (like BWV, KV), without dots. Part numbers are to be added with an # e.g. KV 297#1 (meaning Köchel Verzeichnis Nr.297 part 1).",2
NWR,Priority Flag,260,1,F,O,"Indicates that this work should be processed faster because it is on the charts, is by a well-known composer, etc.",2.1
ORN,Record Type,1,3,A,M,Set Record Type = ORN (Work Origin),2
ORN,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
ORN,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
ORN,Intended Purpose,20,3,L,M,Indicates the type of production from which this work originated. These values reside in the Intended Purpose Table.,2
ORN,Production Title,23,60,A,C,"Name of the production from which this work originated. This field is required when CWR Work Type on the NWR record equals ""FM"".",2
ORN,CD Identifier,83,15,A,C,"If Intended Purpose is equal to LIB (Library Work), enter the identifier associated with the CD upon which the work appears.",2
ORN,Cut Number,98,4,N,O,"If Intended Purpose is equal to LIB (Library Work), enter the track number on the CD Identifier where the work appears.",2
ORN,Library,102,60,A,C,The library from which this work originated.,2.1
ORN,BLTVR,162,1,A,O,An indication of the primary use of the work within the AV production. The definitive source for cue usage is the cue sheet.,2.1
ORN,Filler,163,25,N,O,Reserved for future use,2.1
ORN,Production #,188,12,A,O,The number generated by the production company to identify the work.,2.1
ORN,Episode Title,200,60,A,O,Title of the episode from which this work originated.,2.1
ORN,Episode #,260,20,A,O,Number assigned to the episode by the producer.,2.1
ORN,Year of Production,280,4,N,O,The year in which the production of the film or episode was completed.,2.1
ORN,AVI Society Code,284,3,N,O,The Society code of the society whose audio visual work detail entry is referenced in the AV Index. These values reside on the Society Code Table.,2.1
ORN,Audio-Visual Number,287,15,A,O,"Unique number used internally by the ""owning"" society to identify the audio-visual work as referenced in the AV Index.",2.1
ORN,V-ISAN/ISAN,302,12,A,O,Unique identifier for audio-visual production in which this work is first used / Root Segment,2.2
ORN,V-ISAN/Episode,314,4,A,O,Episode or Part number,2.2
ORN,V-ISAN/Check Digit 1,318,1,A,O,Check Character for the root and episode segment.,2.2
ORN,V-ISAN/Version,319,8,A,O,Version Segment,2.2
ORN,V-ISAN/Check Digit 2,327,1,A,O,Check Character for the Version Segment,2.2
ORN,EIDR,328,20,A,O,EIDR / Root Number,2.2
ORN,EIDR/Check Digit,348,1,A,O,Check Character,2.2
PER,Record Type,1,3,A,M,Set Record Type = PER (Performing Artist),2
PER,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
PER,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
PER,Performing Artist Last Name,20,45,A,M,"Last name of a person or full name of a group that has performed the work on a recording or in public. Note that if the performer is known by a single name, it should be entered in this field.",2
PER,Performing Artist First Name,65,30,A,O,First name associated with the performing artist identified in the previous field.,2
PER,Performing Artist IPI Name #,95,11,L,O,The IPI Name # corresponding to this performing artist. Values reside in the IPI database.,2
PER,Performing Artist IPI Base Number,106,13,L,O,The IPI base number assigned to this performing artist.,2
PWR,Record Type,1,3,A,M,Set Record Type = PWR (Publisher for Writer),2
PWR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
PWR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
PWR,Publisher IP #,20,9,A,C,The publisher interested party number pointing back to the SPU/OPU record for the original publisher/income participant representing this writer.,2
PWR,Publisher Name,29,45,A,C,The name of the publisher indicated by the Interested Party # field.,2
PWR,Submitter Agreement Number,74,14,A,O,The unique number assigned to this agreement by the submitter.,2
PWR,Society-Assigned Agreement Number,88,14,A,O,The unique number assigned to this agreement by the society,2
PWR,Writer IP #,102,9,A,C,The writer interested party number pointing back to the SWR/OWR record in an explicit link.,2.1
PWR,Publisher Sequence #,111,2,N,M,Reference to publisher chain this link relates to. This allows the specific original publisher/income participant entry for this relationship to be identified.,2.2
REC,Record Type,1,3,A,M,Set Record Type = REC (Recording Detail),2
REC,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
REC,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
REC,Release Date,20,8,D,O,"Date the work was or will be released for public consumption. This date can be a past, present, or future date.",2
REC,Constant,28,60,A,O,Fill with blanks.,2
REC,Release Duration,88,6,T,O,Duration of the release of the work.,2
REC,Constant,94,5,A,O,Fill with blanks.,2
REC,Album Title,99,60,A,O,The name of the album in which the work was included if the work was released as part of an album.,2
REC,Album Label,159,60,A,O,Name of the organization that produced and released the album in which the release of the work was included.,2
REC,Release Catalog #,219,18,A,O,Number assigned by the organization releasing the album for internal purposes such as sales and distribution tracking.,2
REC,EAN,237,13,L,O,European Article Number of release (EAN-13),2
REC,ISRC,250,12,L,O,International Standard Recording Code of the recording of the work on the release (according to ISO 3901).,2
REC,Recording Format,262,1,L,O,"Code that identifies the content of the recording: ""A"" (audio), ""V"" (video).",2
REC,Recording Technique,263,1,L,O,"Identifies the recording procedure: ""A"" (Analogue), ""D"" (Digital), ""U"" (Unknown).",2
REC,Media Type,264,3,L,O,BIEM/CISAC code for media type.,2.1
REC,Recording Title,267,60,A,O,Title of the Sound Recording,2.2
REC,Version Title,327,60,A,O,"Title given to the version of the Sound Recording (for example: ""remixed by"")",2.2
REC,Display Artist,387,60,A,O,Name of the artist of the Sound Recording,2.2
REC,Record Label,447,60,A,O,Name of the organisation that produced the Sound Recording of the work,2.2
REC,ISRC Validity,507,20,L,C,"If an ISRC is supplied, Indicates that the validity of the ISRC:””Y”” is valid, “”U”” the link is invalid, “”N”” the ISRC is invalid",2.2
REC,Submitter Recording Identifier,527,14,A,O,The submitter's unique identifier for this recording.,2.2
SPT,Record Type,1,3,A,M,Set Record Type = SPT (Publisher Territory of Control) or OPT (publisher non-controlled collection),2
SPT,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
SPT,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
SPT,Interested Party #,20,9,A,M,Submitting publisher's unique identifier for this Publisher.,2
SPT,Constant,29,6,A,M,Set this field equal to spaces.,2
SPT,PR Collection Share,35,5,N 999v99,C,Defines the percentage of the total royalty distributed for performance of the work which will be collected by (paid to) the publisher within the above Territory. It can be a range from 0 to 50.00.,2
SPT,MR Collection Share,40,5,N 999v99,C,"Defines the percentage of the total royalty distributed for sales of CDs, Cassette Tapes, etc. in which the work is included which will be collected by (paid to) the publisher. It can be a range from 0 to 100.00.",2
SPT,SR Collection Share,45,5,N 999v99,C,Defines the percentage of the total royalty distributed for Synchronization rights to the work which will be collected by (paid to) the publisher. It can be a range from 0 to 100.00.,2
SPT,Inclusion/ Exclusion Indicator,50,1,L,M,This is a marker which shows whether the territory specified in this record is part of the territorial scope of the agreement or not. Possible entries are I (= territory included) and E (= territory excluded).,2
SPT,TIS Numeric Code,51,4,L,M,A territory within which this publisher claims the right to collect payment for performance or use of this work. These values reside in the TIS Code Table.,2
SPT,Shares change,55,1,B,O,"If the shares for the writer interest change as a result of sub-publication in this territory or for a similar reason, set this field to ""Y"".",2
SPT,Sequence #,56,3,N,M,A sequential number assigned to each territory following an SPU.,2.1
SPU,Record Type,1,3,A,M,Set Record Type = SPU (Publisher Controlled by Submitter) or OPU (Other Publisher),2
SPU,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
SPU,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
SPU,Publisher Sequence #,20,2,N,M,A sequential number assigned to the original publishers on this work.,2
SPU,Interested Party #,22,9,A,C,Submitting publisher's unique identifier for this publisher. This field is required for record type SPU and optional for record type OPU.,2
SPU,Publisher Name,31,45,A,C,The name of this publishing company. This field is required for record type SPU and optional for record type OPU.,2
SPU,Publisher Unknown Indicator,76,1,F,C,"Indicates if the name of this publisher is unknown. Note that this field must be left blank for SPU records. For OPU records, this field must be set to ""Y"" if the Publisher Name is blank.",2
SPU,Publisher Type,77,2,L,C,Code defining this publisher's role in the publishing of the work. These values reside on the Publisher Type Table. This field is required for record type SPU and optional for record type OPU.,2
SPU,Tax ID #,79,9,A,O,The number used to identify this publisher for domestic tax reporting.,2
SPU,Publisher IPI Name #,88,11,L,C,"The IPI Name # assigned to this publisher. If the record is of type SPU and followed by an SPT (and hence represents the file submitter), then the IPI Name Number is mandatory.",2
SPU,Submitter Agreement Number,99,14,A,O,Indicates the agreement number unique to the submitter under which this publisher has acquired the rights to this work.,2
SPU,PR Affiliation Society #,113,3,L,C,Number assigned to the Performing Rights Society with which the publisher is affiliated. These values reside on the Society Code Table.,2
SPU,PR Ownership Share,116,5,N 999v99,C,"Defines the percentage of the publisher's ownership of the performance rights to the work. This share does not define the percentage of the total royalty distributed for performance of the work that will be collected by the publisher. Within an individual SPU record, this value can range from 0 to 50.0.",2
SPU,MR Society,121,3,L,C,Number assigned to the Mechanical Rights Society with which the publisher is affiliated. These values reside on the Society Code Table.,2
SPU,MR Ownership Share,124,5,N 999v99,C,"Defines the percentage of the publisher's ownership of the mechanical rights to the work. This share does not define the percentage of the total royalty distributed for sales of CDs, Cassettes, etc. containing the work that will be collected by the publisher. Within an individual SPU record, this value can range from 0 to 100.0.",2
SPU,SR Society,129,3,L,C,Number assigned to the Society with which the publisher is affiliated for administration of synchronization rights. These values reside on the Society Code Table.,2
SPU,SR Ownership Share,132,5,N 999v99,C,"Defines the percentage of the publisher's ownership of the synch rights to the work. This share does not define the percentage of the total money distributed that will be collected by the publisher. Within an individual SPU record, this value can range from 0 to 100.0.",2
SPU,Special Agreements Indicator,137,1,L,O,"Indicates publisher claiming reversionary rights. Note that this flag only applies to societies that recognize reversionary rights (for example, SOCAN).",2
SPU,First Recording Refusal Ind,138,1,F,O,Indicates whether the submitter has refused to give authority for the first recording. Note that this field is mandatory for registrations with the UK societies.,2
SPU,Filler,139,1,A,O,Fill with a blank,2
SPU,Publisher IPI Base Number,140,13,L,O,The IPI base number assigned to this publisher,2
SPU,International Standard Agreement Code,153,14,A,O,The ISAC that has been assigned to the agreement under which this publisher share is to be administered.,2
SPU,Society-assigned Agreement Number,167,14,A,O,The agreement number assigned by the society of the sub-publisher.,2
SPU,Agreement Type,181,2,L,O,Code defining the category of agreement. The values reside in the Agreement Type Table.,2.1
SPU,USA License Ind,183,1,L,O,Indicates that rights flow through SESAC/BMI/ASCAP/AMRA in the US,2.1
SWR,Record Type,1,3,A,M,Set Record Type = SWR (Writer Controlled by Submitter) or OWR (Other Writer),2
SWR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
SWR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
SWR,Interested Party #,20,9,A,C,Submitting publisher's unique identifier for this Writer. This field is required for record type SWR and optional for record type OWR.,2
SWR,Writer Last Name,29,45,A,C,"The last name of this writer. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name. This field is required for record type SWR and optional for record type OWR.",2
SWR,Writer First Name,74,30,A,O,The first name of this writer along with all qualifying and middle names.,2
SWR,Writer Unknown Indicator,104,1,F,C,"Indicates if the name of this writer is unknown. Note that this field must be left blank for SWR records. For OWR records, this field must be set to ""Y"" if the Writer Last Name is blank.",2
SWR,Writer Designation Code,105,2,L,C,Code defining the role the writer played in the composition of the work. These values reside in the Writer Designation Table. This field is required for record type SWR and optional for record type OWR.,2
SWR,Tax ID #,107,9,A,O,The number used to identify this writer for domestic tax reporting.,2
SWR,Writer IPI Name #,116,11,L,O,The IPI Name # assigned to this writer.,2
SWR,PR Affiliation Society #,127,3,L,O,Number assigned to the Performing Rights Society with which the writer is affiliated. These values reside on the Society Code Table.,2
SWR,PR Ownership Share,130,5,N 999v99,O,"Defines the percentage of the writer's ownership of the performance rights to the work. Within an individual SWR record, this value can range from 0 to 100.0. Note that writers both own and collect the performing right interest.",2
SWR,MR Society,135,3,L,O,Number assigned to the Mechanical Rights Society with which the writer is affiliated. These values reside on the Society Code Table.,2
SWR,MR Ownership Share,138,5,N 999v99,O,"Defines the percentage of the writer's ownership of the mechanical rights to the work. Within an individual SPU record, this value can range from 0 to 100.0.",2
SWR,SR Society,143,3,L,O,Number assigned to the Mechanical Rights Society with which the writer is affiliated. These values reside on the Society Code Table.,2
SWR,SR Ownership Share,146,5,N 999v99,O,"Defines the percentage of the writer's ownership of the synchronization rights to the work. Within an individual SPU record, this value can range from 0 to 100.0.",2
SWR,Reversionary Indicator,151,1,F,O,"Indicates writer involved in the claim. Note that this flag only applies to societies that recognize reversionary rights (for example, SOCAN).",2
SWR,First Recording Refusal Ind,152,1,B,O,Indicates whether the submitter has refused to give authority for the first recording. Note that this field is mandatory for registrations with the UK societies.,2
SWR,Work For Hire Indicator,153,1,B,O,Indicates whether or not this work was written for hire.,2
SWR,Filler,154,1,A,O,,2
SWR,Writer IPI Base Number,155,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
SWR,Personal Number,168,12,N,O,The personal number assigned to this writer in the country of his/her residence.,2
SWR,USA License Ind.,180,1,L,O,Indicates that rights flow through SESAC/BMI/ASCAP/AMRA in the US.,2.1
SWT,Record Type,1,3,A,M,Set Record Type = SWT (writer Territory of Control) or OWT (other writer collection).,2
SWT,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
SWT,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
SWT,Interested Party #,20,9,A,C,Submitting publisher's unique identifier for this Writer.,2
SWT,PR Collection Share,29,5,N 999v99,O,"Defines the percentage of the total royalty distributed for performance of the work which will be collected by (paid to) the writer within the above Territory. Within an SWT record, can be a range from 0 to 100.00.",2
SWT,MR Collection Share,34,5,N 999v99,O,"Defines the percentage of the total royalty distributed for sales of CDs, Cassette Tapes, etc. in which the work is included which will be collected by (paid to) the writer. Within an SWT record, can be a range from 0 to 100.00.",2
SWT,SR Collection Share,39,5,N 999v99,O,"Defines the percentage of the total royalty distributed for Synchronization rights to the work which will be collected by (paid to) the writer. Within an SWT record, can be a range from 0 to 100.00.",2
SWT,Inclusion/ Exclusion Indicator,44,1,L,M,This is a marker which shows whether the territory specified in this record is part of the territorial scope of the agreement or not. Possible entries are I (= territory included) and E (= territory excluded).,2
SWT,TIS Numeric Code,45,4,L,M,A territory within which this writer has the right to collect payment for performance of this work. These values reside in the TIS Code Table.,2
SWT,Shares change,49,1,B,O,"If the shares for the writer interest change as a result of sub-publication in this territory, set this field to “Y”.",2
SWT,Sequence #,50,3,N,M,A sequential number assigned to each territory following an SWR or OWR,2.1
TER,Record Type,1,3,A,M,Set Record Type = TER (Territory in Agreement),2
TER,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
TER,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
TER,Inclusion/ Exclusion Indicator,20,1,L,M,This is a marker which shows whether the territory specified in this record is part of the territorial scope of the agreement or not. Possible entries are I (= territory included) and E (= territory excluded).,2
TER,TIS Numeric Code,21,4,L,M,Numeric identifier of a territory according to the new CISAC Territory Standard.,2
TRL,Record Type,1,3,A,M,TRL = Transmission Trailer,2
TRL,Group Count,4,5,N,M,The number of groups included within this file.,2
TRL,Transaction Count,9,8,N,M,The number of transactions included within this file.,2
TRL,Record Count,17,8,N,M,The number of physical records included in this file including HDR and TRL records.,2
VER,Record Type,1,3,A,M,Set Record Type = VER (Original Work Title for Versions),2
VER,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
VER,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
VER,Original Work Title,20,60,A,M,Original title of the work from which this version was derived.,2
VER,ISWC of Original Work,80,11,A,O,The International Standard Work Code assigned to the work from which this version has been derived.,2
VER,Language Code,91,2,L,O,The code defining the language in which the work was originally written. These values reside in the Language Code Table.,2
VER,Writer 1 Last Name,93,45,A,O,"Last name of the original writer/composer of the work from which this version has been derived. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
VER,Writer 1 First Name,138,30,A,O,First name of the original writer/composer of the work from which this version has been derived.,2
VER,Source,168,60,A,O,A description of the source from which the work was obtained.,2
VER,Writer 1 IPI Name #,228,11,L,O,The IPI Name number assigned to the first writer of the original work.,2
VER,Writer 1 IPI Base Number,239,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
VER,Writer 2 Last Name,252,45,A,O,"Last name of the second writer of the original work. Note that if the submitter does not have the ability to split first and last names, the entire name should be entered in this field in the format ""Last Name, First Name"" including the comma after the last name.",2
VER,Writer 2 First Name,297,30,A,O,First name of the second writer of the original work.,2
VER,Writer 2 IPI Name #,327,11,L,O,The IPI Name number assigned to the second writer of this original work.,2
VER,Writer 2 IPI Base Number,338,13,L,O,The IPI base number assigned to this writer. These values reside in the IPI database.,2
VER,Submitter Work #,351,14,A,O,Number assigned to the original work by the party submitting the file. This number must be unique for the submitter.,2
XRF,Record Type,1,3,A,M,Set Record Type = XRF (Work ID Cross Reference),2
XRF,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
XRF,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
XRF,Organisation Code,20,3,L,M,"Number assigned to the Organisation (e.g. Society, publisher, DSP etc...) which generated the Work Code. These values reside in the Transmitter Code Table, or can be ""ISW"" for ISWC or ""ISR"" for ISRC. Note: Do not use ""000""or ""099"".",2
XRF,Identifier,23,14,A,M,An identifier that relates to this work Transaction.,2
XRF,Identifier Type,37,1,L,M,"The type of identifier (""W"" for Work, ""R"" for Recording, ""P"" for Product, ""V"" for Video)",2
XRF,Validity,38,1,F,M,"Indicates whether the Identifier is valid or not: ""Y"" is valid, ""U"" the link is invalid, ""N"" the identifier is invalid",2